transcript_ID,transcript_name,gene_ID,sample_1092_PAM41667,sample_1131_PAM44580,sample_1163_PAM44604,sample_1186_PAM43869,sample_1218_PAM43779,sample_1271_PAM44815,sample_1291_PAG71816,sample_1304_PAM44487,sample_5292_PAG75292,sample_5295_PAG77944,sample_5356_PAM42933,sample_579_PAG75663
ESPRESSO:chr11:5456:8,NA,ENSG00000087365.16,11.36,15.39,12.3,4.41,29.11,45.56,34.23,55.25,41.37,40.51,6.56,11.57
ESPRESSO:chr11:5456:6,NA,ENSG00000087365.16,0,2.95,1.65,0,2.65,5.06,1.74,0,1.66,1.95,42.96,4.19
ESPRESSO:chr11:5456:10,NA,ENSG00000087365.16,10.15,6.45,2.8,3.52,3.07,4.97,2.9,5.75,5.99,1.69,2.22,2.46
ENST00000394067.7,KLC2-204,ENSG00000174996.12,6.72,11.43,0.09,0.06,2.99,4.04,4.54,9.3,4.88,3.9,5.66,3.31
ENST00000320580.9,PACS1-201,ENSG00000175115.13,4.61,4.35,0.25,1.05,3.42,2.32,3.79,3.87,2.02,1.81,0.83,2.89
ENST00000534023.1,KLC2-214,ENSG00000174996.12,2.01,7.43,0,0,0.96,0.98,0,1.45,0.18,0,3.11,0.93
ENST00000316924.9,KLC2-201,ENSG00000174996.12,0.64,0,0.09,0.06,3.74,0.39,1.24,2.32,1.28,3.01,5.66,0.55
ENST00000531936.1,CNIH2-205,ENSG00000174871.11,3.96,1.05,0.25,0,3.2,4.26,1.16,0.97,2.17,0.54,0,3.07
ENST00000311481.11,RAB1B-201,ENSG00000174903.16,0.68,0.97,7.61,5.08,14.61,9.31,16.89,1.15,13.73,13.94,0.44,7.56
ENST00000311445.7,CNIH2-201,ENSG00000174871.11,9.9,2.53,0.44,0.15,8.05,5.6,6.6,5.81,17.68,8.27,0,11.69
ENST00000359461.10,YIF1A-201,ENSG00000174851.16,1.02,0,6.03,1.7,2.68,0,2.32,0.48,3.04,4.29,0,1.53
ENST00000496746.5,YIF1A-210,ENSG00000174851.16,18.88,22.72,17.64,22.01,12.92,11.08,8.32,50.36,12.44,13.99,31.28,16.67
ENST00000376901.9,YIF1A-203,ENSG00000174851.16,32.82,8.7,56.73,45.77,44.08,40.86,41.74,12.59,38.9,48.41,18.77,33.19
ENST00000494836.2,YIF1A-209,ENSG00000174851.16,24.85,15.47,20.62,29.51,13.67,13.26,12.98,21.79,11.33,11.19,15.85,14.18
ESPRESSO:chr11:5458:25,NA,ENSG00000174903.16,1.26,0.97,2.55,0.78,0,0,0,3.22,5.52,6.69,0.44,0
ESPRESSO:chr11:5458:33,NA,ENSG00000174871.11,0.91,0.65,0,0,0.56,0,0.79,0,0.66,2.17,0,0.87
ESPRESSO:chr11:5458:3,NA,NA,2.88,0.97,4.04,2.42,3.42,5.04,3.37,0,4.7,1.48,3.34,1.68
ESPRESSO:chr11:5458:38,NA,ENSG00000174903.16,9.48,3.87,19.6,13.45,11.57,12.12,18.44,3.74,0,20.81,4.42,9.73
ESPRESSO:chr11:5458:2,NA,NA,1.59,0.48,1.84,0.97,2.56,3.69,0.95,0.48,2.58,1.48,3.34,2.66
ESPRESSO:chr11:5458:19,NA,NA,4.18,3.38,25.06,0.6,26.7,4.14,4,3.39,5.53,7.41,3.75,14.01
ESPRESSO:chr11:5458:24,NA,ENSG00000174903.16,1.26,0.97,5.43,3.89,3.39,7.57,7.39,3.22,0,0,0.44,3.57
ESPRESSO:chr11:5458:20,NA,NA,2.88,2.9,7.35,0.24,3.31,0.54,1.05,0,3.22,2.47,5,0.53
ESPRESSO:chr11:5458:45,NA,ENSG00000174851.16,0.29,0,0.55,0.73,0.21,0.45,0.85,0,0.64,0.99,3.34,0.38
ESPRESSO:chr11:5459:1,NA,NA,4.18,3.38,25.06,0.6,26.7,4.14,4,3.39,5.53,7.41,3.75,14.01
ESPRESSO:chr11:5459:2,NA,NA,2.88,2.9,7.35,0.24,3.31,0.54,1.05,0,3.22,2.47,5,0.53
ENST00000359957.8,BRMS1-201,ENSG00000174744.14,20.11,3.81,29.29,24.53,30.99,28.05,24.18,23.24,29.73,20.76,11.26,20.99
ENST00000425825.6,BRMS1-202,ENSG00000174744.14,2.14,0.97,1.87,1.5,2.12,1.38,4.15,1.75,0.95,1.87,0,2.08
ENST00000530238.5,BRMS1-207,ENSG00000174744.14,1.66,0.5,0.92,0.57,1.1,0,0.71,0.42,0.97,0,0,1.92
ESPRESSO:chr11:5461:4,NA,ENSG00000174744.14,0,0.26,0.16,1.21,0.73,0.92,1.1,0.13,2.06,0.86,0,0.35
ESPRESSO:chr11:5461:6,NA,ENSG00000174791.11,2.88,0.97,0,0,0.75,1.71,0.63,0.97,1.29,0.33,0,2.13
ENST00000311181.5,B4GAT1-201,ENSG00000174684.7,65.15,9.19,15.07,22.98,37.59,134.92,39.18,28.09,95.9,18.93,5.42,101.42
ESPRESSO:chr11:5462:9,NA,ENSG00000174684.7,4.32,1.45,0.49,0.24,0.53,2.43,0.63,0,3.41,0.33,3.75,1.29
ESPRESSO:chr11:5462:10,NA,ENSG00000174684.7,14.27,6.77,3.49,3.63,6.09,23.42,5.69,6.3,18.52,4.28,7.51,11.5
ESPRESSO:chr11:5462:5,NA,NA,13.12,6.29,1.04,1.45,1.6,4.86,1.47,1.45,7.74,0.49,2.09,3.2
ESPRESSO:chr11:5462:11,NA,ENSG00000174684.7,1.59,0,0.98,0.12,0.43,4.77,1.58,2.91,4.7,1.98,1.25,2.36
ENST00000581155.5,B4GAT1-DT-203,ENSG00000255468.7,1.73,0.48,1.1,0.73,0.85,0.81,0.95,3.39,0.55,0.99,1.25,0.69
ESPRESSO:chr11:5463:10,NA,ENSG00000255468.7,0,0.48,0.67,0.12,0.43,0.99,1.26,1.45,0,0,1.25,0.53
ENST00000430466.6,MRPL11-203,ENSG00000174547.13,7.08,5.31,12.82,12.61,6.22,3.17,7.63,4.59,12.87,8.8,0,14.82
ENST00000690327.2,DPP3-DT-206,ENSG00000255517.8,3.46,0.97,6.49,4.48,5.55,0.27,2.95,0,1.84,6.25,1.25,2.28
ENST00000534488.5,MRPL11-206,ENSG00000174547.13,0.66,1,0.43,0.84,0.29,1.15,1.17,0.99,0.22,0,0,0.54
ENST00000349459.10,PELI3-202,ENSG00000174516.15,0.72,1.45,0,0.12,0.96,0.63,0.84,0.48,0.37,0.49,4.17,0.23
ENST00000310999.11,MRPL11-201,ENSG00000174547.13,25.81,10.61,30.02,39.71,39.52,45.72,52.74,27.52,38.71,32.83,23.02,36.9
ENST00000527274.4,DPP3-DT-203,ENSG00000255517.8,0,0,0.37,0.36,1.39,0,0.84,0.48,1.2,2.63,2.09,3.43
ENST00000310442.5,ZDHHC24-201,ENSG00000174165.8,3.6,0.97,0.61,2.06,1.07,0.21,1.58,0.97,1.01,0.74,1.46,2.97
ENST00000532677.5,DPP3-211,ENSG00000254986.8,4.77,1.2,12.46,5.04,6.16,6.57,5.16,5.51,7.05,5.87,1.04,2.78
ENST00000531863.6,DPP3-209,ENSG00000254986.8,1.19,1.2,5.34,2.14,2.9,0,1.98,5.51,2.75,1.08,1.04,1.67
ENST00000318312.12,BBS1-201,ENSG00000174483.20,0.39,0,1.1,0.36,5.16,3.1,2.33,0,4.51,1.41,0,3.61
ESPRESSO:chr11:5470:36,NA,ENSG00000174547.13,2.97,0,1.97,4.86,1.53,2.55,1.95,0,1.71,1.49,5.76,1.53
ESPRESSO:chr11:5470:42,NA,"ENSG00000174483.20,ENSG00000256349.1",3.4,6.59,0,0,0,4.33,0.51,1.44,0.01,1.21,1.46,0.99
ENST00000530565.6,CTSF-208,ENSG00000174080.12,0.75,6.18,0.63,0,0,1.37,0,4.49,1.15,2.63,0,0.69
ENST00000310325.10,CTSF-201,ENSG00000174080.12,0,20.07,31.21,39.47,49.69,48.59,23.36,26.68,47.17,34.54,15.89,52.86
ENST00000678294.1,CTSF-224,ENSG00000174080.12,5.62,2.51,8.71,2.5,11.06,11.99,6.86,5.85,10.85,5.28,3.9,5.75
ENST00000525435.1,CCS-202,ENSG00000173992.9,0,6.03,1.35,4.19,1.24,2.88,0,0,1.46,1.28,8.59,0.41
ENST00000534763.1,CCS-209,ENSG00000173992.9,13.4,7.84,5.84,11.52,9.65,7.51,1.59,5.81,9.3,3.98,7.51,4.04
ENST00000530384.5,CCS-205,ENSG00000173992.9,2.7,0,5.06,6.12,10.09,3.12,5.94,0.49,4.64,3.19,0.9,3.99
ENST00000526066.5,CCS-204,ENSG00000173992.9,6.51,8.26,1.23,2.93,2.46,1.81,2.24,10.76,1.93,2.49,3.11,1.83
ENST00000533244.6,CCS-208,ENSG00000173992.9,84.83,47.01,26.27,65.79,46.38,62.6,34.01,80.67,58.36,33.24,47.27,52.63
ESPRESSO:chr11:5474:16,NA,ENSG00000173992.9,2.88,28.13,2.39,5.45,5.32,3.98,2.4,0,2.78,6.92,0,1.47
ESPRESSO:chr11:5474:12,NA,ENSG00000173992.9,0.39,0,0.68,0.81,1.4,0.91,1.57,2.23,0,0,1.82,1.17
ESPRESSO:chr11:5474:14,NA,ENSG00000173992.9,0,7.57,1.94,8.81,3.78,2.57,1.05,5.12,4.38,5.75,0,6.53
ENST00000483858.5,RBM4-206,ENSG00000173933.21,0.43,0,0.98,0.48,0.53,0.54,0.32,0.48,1.66,0.99,0.42,2.59
ENST00000310046.9,RBM4B-201,ENSG00000173914.12,0.81,0.32,20.26,2.5,11.28,5.78,13.71,0.16,11.29,5.57,0.55,7.29
ENST00000409406.1,RBM4-205,ENSG00000173933.21,11.94,10.64,7.3,9.77,8.84,4.49,12.16,10.9,7.96,12.15,1.3,7.87
ENST00000531036.2,RBM4B-206,ENSG00000173914.12,1.44,0.97,2.45,0.85,1.17,3.96,3.26,0.97,5.07,2.63,4.59,6.4
ENST00000310092.12,RBM4-201,ENSG00000173933.21,15.05,0,42.38,25.27,35.05,21.59,47.59,0,42.85,59.42,1.3,31
ENST00000408993.6,RBM4-204,ENSG00000173933.21,4.15,0,26.82,2.2,6.42,9.64,24.08,3.63,21.68,13.14,1.3,12.21
ENST00000525754.5,RBM4B-203,ENSG00000173914.12,0.49,0.32,2.43,0,2.74,0.26,1.98,0.16,3.91,0.56,0.55,1.69
ENST00000310137.5,RBM14-201,ENSG00000239306.5,2.31,0.97,6.37,4.6,5.13,8.02,13.69,0.97,5.62,10.04,0,9.97
ENST00000398692.8,RBM4-203,ENSG00000173933.21,7.78,0,13.36,16.81,12.78,7.22,14.43,2.42,10.08,6.9,0.83,8.17
ENST00000530235.1,RBM4-211,ENSG00000173933.21,0,0,5.91,1.55,1.11,1.96,2.69,0,2.6,0.9,4.17,2.68
ESPRESSO:chr11:5476:23,NA,"ENSG00000173933.21,ENSG00000248643.5",1.28,0,0.39,0.26,0.89,1.04,2.08,0,0,0.89,1.3,0
ENST00000528051.1,SPTBN2-202,ENSG00000173898.15,4.61,0,0.18,0.6,2.24,4.05,3.69,3.87,3.87,1.65,1.25,4.57
ENST00000309657.8,RCE1-201,ENSG00000173653.8,0.48,0.32,0.97,1.94,0,1.78,0.74,2.42,3.25,0.49,0,1.69
ENST00000524506.5,RCE1-202,ENSG00000173653.8,0,0,1.16,1.57,1.92,1.08,0.42,0,0.94,1.81,0,0.46
ESPRESSO:chr11:5477:23,NA,ENSG00000173715.18,3.89,0,1.06,1.41,3.54,5.98,0,39.1,7.73,9.55,6.96,7.01
ESPRESSO:chr11:5477:22,NA,ENSG00000173898.15,10.62,5.32,0.61,0,12.39,14.6,5.26,19.45,21.5,12.51,8.76,20.25
ESPRESSO:chr11:5477:24,NA,ENSG00000173715.18,15.57,9.67,1.06,2.83,12.05,2.39,5.06,14.65,5.91,9.55,34.74,3
ESPRESSO:chr11:5477:20,NA,ENSG00000173898.15,2.59,4.35,0,0,1.39,1.98,1.16,3.87,4.33,1.98,11.26,1.6
ENST00000393958.7,PC-202,ENSG00000173599.15,13.19,0,2.89,0,7.68,1.26,4.45,29.05,13.3,15.76,16.04,16.4
ENST00000393960.7,PC-203,ENSG00000173599.15,18.09,16.92,17.82,19.23,30.12,27.11,23.25,0,21.52,16.62,4.4,11.32
ENST00000309602.5,LRFN4-201,ENSG00000173621.9,0.72,0.48,0.06,0.48,2.14,1.98,1.05,3.39,2.4,1.15,1.25,1.98
ENST00000527043.6,SYT12-205,ENSG00000173227.14,2.31,7.74,0,0,1.82,0.63,0.21,1.45,0.83,0.49,0.42,0.61
ENST00000529006.7,KDM2A-210,ENSG00000173120.15,1.59,1.45,2.9,3.47,2.33,2.02,3.26,5.33,4.06,5.95,4.59,0.96
ESPRESSO:chr11:5483:5,NA,ENSG00000173020.11,0.86,1.45,0.55,0.12,1.39,1.53,2.11,0.48,2.76,1.65,2.92,1.37
ENST00000513750.6,ANKRD13D-215,ENSG00000172932.16,3.24,0,0.18,1.19,2,0.57,2.26,0,1.11,2.41,0.7,2.06
ENST00000512231.5,ANKRD13D-213,ENSG00000172932.16,3.24,0,0.18,1.19,2,0.57,2.26,0,1.11,2.41,0.7,2.06
ENST00000504236.2,ANKRD13D-204,ENSG00000172932.16,7.33,4.47,2.28,4.3,9.67,7.07,3.36,20.34,8.99,6.09,29.04,5.71
ENST00000511455.7,ANKRD13D-211,ENSG00000172932.16,4.86,13.42,0.73,1.79,6.22,6.81,7.39,0,7.04,2.89,1.41,7.78
ENST00000308127.9,SSH3-201,ENSG00000172830.13,0.14,0,0.29,3.75,2.45,0.54,1.78,3.87,1.01,2.47,2.5,0.63
ENST00000312419.8,POLD4-201,ENSG00000175482.9,10.89,2.42,30.24,23.82,19.66,24.64,24.81,5.81,19.53,17,18.3,15.8
ENST00000530584.5,POLD4-206,ENSG00000175482.9,2.84,0,3.31,5.45,4.81,3.72,2.9,0,2.42,2.5,0,3.02
ENST00000531239.2,POLD4-207,ENSG00000175482.9,5.22,1.45,6.49,7.35,4.26,4.74,7.63,0,3.44,2.5,2.98,7.7
ENST00000679175.1,PPP1CA-214,ENSG00000172531.16,5.85,0,2.37,4.4,6.6,1.36,9.35,2.28,5.73,7.46,0,3.86
ENST00000529704.5,POLD4-205,ENSG00000175482.9,10.6,2.9,25.82,16.22,28.4,12.09,28.99,16.46,12.93,16.84,20.43,13.34
ENST00000533429.1,POLD4-209,ENSG00000175482.9,10.52,11.12,5.82,10.16,10.36,8.83,7.06,7.26,11.42,4.94,19.18,8.98
ENST00000376745.9,PPP1CA-203,ENSG00000172531.16,27.3,14.92,33.17,36.56,49.97,21.44,65,13.67,50.82,62.68,19.89,43.33
ESPRESSO:chr11:5487:19,NA,ENSG00000172613.8,0.14,0,0.06,3.58,1.5,0.63,2.11,0,3.04,3.04,0.63,1.6
ESPRESSO:chr11:5487:33,NA,ENSG00000172531.16,1.15,0,1.01,0.95,0.97,0.16,1.4,4.56,1.25,0.59,3.46,0.69
ESPRESSO:chr11:5487:36,NA,"ENSG00000175482.9,ENSG00000256514.1",0,0,3.58,1.57,1.5,2.05,3.02,0.48,0.65,1.54,0,1.19
ESPRESSO:chr11:5487:16,NA,NA,0.43,0,0.31,3.31,0.75,0.09,3.05,0,0.55,1.74,0.63,1.22
ESPRESSO:chr11:5487:31,NA,ENSG00000172531.16,0,0,1.15,0.3,0.93,1.38,2.16,2.28,0.37,1.9,0,0.49
ENST00000312629.10,RPS6KB2-201,ENSG00000175634.15,12.11,0.1,6.3,8.83,8.65,4.86,4.34,6.78,9.67,6.75,6.49,2.71
ESPRESSO:chr11:5488:1,NA,ENSG00000175634.15,0,8.12,1.41,0,0.96,1.62,1.24,0,0,0,0.6,4.07
ENST00000341356.10,CORO1B-201,ENSG00000172725.14,3.6,0,7.66,8.71,10.35,2.16,7.01,1.69,7.55,11.03,4.17,7
ENST00000393877.3,TMEM134-202,ENSG00000172663.9,4.56,0,0.56,0.69,2.43,5.05,0,0,1.51,0.55,3.28,4.01
ENST00000682659.1,AIP-206,ENSG00000110711.11,6.32,0,2.79,2.34,0.74,1.3,6.67,0,3.13,2.08,0,2.97
ENST00000308022.7,TMEM134-201,ENSG00000172663.9,2.11,3.87,6.38,7.63,12.71,10.12,12.29,5.44,9.04,11,1.82,8.16
ENST00000279146.8,AIP-201,ENSG00000110711.11,66.33,42.43,92.04,71.84,85.28,70.26,111.31,49.92,109.16,77.24,64.91,87.55
ENST00000545682.5,TMEM134-217,ENSG00000172663.9,0,0,0.31,0.71,0.9,0.9,0.9,0,0.6,1.85,0.61,0
ENST00000535175.5,TMEM134-205,ENSG00000172663.9,3.46,0,3.27,4.11,4.59,3.6,1.58,5.33,3.5,1.98,4.17,2.51
ENST00000683237.1,AIP-208,ENSG00000110711.11,1.19,0.99,1.13,0.37,1.08,0.27,0,0,1.71,0.99,0.19,1.08
ENST00000528641.7,AIP-203,ENSG00000110711.11,0,1.5,2.34,1.76,1.49,1.32,4.41,0,2.92,1.31,0,0.11
ENST00000684657.1,AIP-211,ENSG00000110711.11,1.19,0,2.13,0.49,0.38,2.9,2.32,0,3.18,1.8,0,1.52
ESPRESSO:chr11:5490:23,NA,ENSG00000172663.9,1.12,0,0.32,0.71,2.65,0.63,1.38,3.27,2.27,0.97,0.61,0.7
ESPRESSO:chr11:5490:24,NA,ENSG00000172663.9,1.86,1.93,3.2,4.77,6.64,1.89,3.57,0,3.4,3.89,2.43,2.59
ESPRESSO:chr11:5490:14,NA,ENSG00000110711.11,0,0,0.49,1.5,3.01,2.76,1.36,0.79,0,1.31,3.45,2.17
ESPRESSO:chr11:5490:25,NA,ENSG00000172663.9,4.6,0,1.93,3.65,2.38,3.82,2.44,0,2.16,2.16,0,1.61
ESPRESSO:chr11:5490:17,NA,ENSG00000172663.9,2.6,0,0.38,0,1.09,0.78,0.42,0,1.01,0.84,0,0.86
ESPRESSO:chr11:5490:7,NA,ENSG00000110711.11,4.32,2.9,2.68,3.01,1.31,3.8,3.19,3.98,5.01,5.13,3.84,2.39
ESPRESSO:chr11:5491:4,NA,ENSG00000110697.13,16.84,8.7,0.49,4.96,10.92,10.07,4.42,15.01,15.2,8.83,18.99,12.14
ESPRESSO:chr11:5491:5,NA,ENSG00000110697.13,0.14,1.93,0,0,0,0,1.16,0.48,0.55,1.98,3.75,0.61
ENST00000531178.1,CDK2AP2-204,ENSG00000167797.8,0,0,3.68,2.18,2.14,3.6,4.32,0,2.49,5.1,0,1.75
ENST00000525402.5,CDK2AP2-202,ENSG00000167797.8,13.17,4.47,19.65,17.56,22.43,15.35,31.59,2.91,22.65,21.28,20.69,10.83
ENST00000301488.8,CDK2AP2-201,ENSG00000167797.8,33.56,12.67,101.42,68.09,105.28,86.01,146.74,30.51,66.96,102.28,45.21,50.08
ESPRESSO:chr11:5492:4,NA,ENSG00000167797.8,0,0.74,1.19,0.58,0.37,0.46,2.08,0,1.2,1.19,0,0.38
ENST00000398603.6,GSTP1-201,ENSG00000084207.18,4.07,0.49,7.5,4.18,0.54,1.81,3.87,0.97,1.57,3.14,0.43,2.76
ENST00000398606.10,GSTP1-202,ENSG00000084207.18,717.68,252.65,1362.57,1560.31,1150.3,788.49,1395.65,436.45,933.84,1039.6,302.33,710.44
ENST00000467591.1,GSTP1-203,ENSG00000084207.18,139.85,129.58,84.03,134.41,94.44,78.63,81.21,95.81,77.05,64.89,190.9,67.56
ESPRESSO:chr11:5496:5,NA,ENSG00000084207.18,2.23,0,3.84,5.8,6.28,2.36,6.04,1.5,3.4,3.95,1.88,2.7
ESPRESSO:chr11:5496:11,NA,ENSG00000084207.18,5,8.77,10.61,13.54,9.53,6.14,12.3,4.35,7.69,8.21,8.08,6.63
ESPRESSO:chr11:5496:14,NA,ENSG00000084207.18,3.13,1.35,7.15,11.89,3.63,7.37,7.07,0,10.54,5.83,4.16,3.82
ESPRESSO:chr11:5496:19,NA,ENSG00000084207.18,1.19,0,3.74,0.8,0.93,0,0.83,0.62,0.69,0.69,0,0.33
ESPRESSO:chr11:5496:29,NA,ENSG00000084207.18,10.67,4.7,24.99,33.31,20.5,27.89,27.45,12.67,12.89,14,6.57,11
ESPRESSO:chr11:5496:12,NA,ENSG00000084207.18,1.98,1.17,1.09,1.46,2.23,1,0.35,0,0.11,1.11,0,0.74
ESPRESSO:chr11:5496:3,NA,ENSG00000084207.18,1.2,0,1.03,1.44,1.07,0.6,1.51,0,0.58,2.01,1.04,0.6
ESPRESSO:chr11:5496:27,NA,ENSG00000084207.18,3.52,0,2.13,2.63,4.47,1.62,4.17,0,2.73,5.88,0,1.98
ESPRESSO:chr11:5496:24,NA,ENSG00000084207.18,0,0,8.39,4.71,3.11,1.58,11.31,3.09,2.36,4.25,0,0.64
ESPRESSO:chr11:5496:17,NA,ENSG00000084207.18,5.61,6.9,3.74,1.34,2.25,1.53,2.64,1.23,3.34,1.73,0.64,1.57
ESPRESSO:chr11:5496:4,NA,ENSG00000084207.18,3.61,0,4.2,4.02,4.57,3.62,4.8,3.19,2.93,3.41,1.03,2.92
ESPRESSO:chr11:5496:15,NA,ENSG00000084207.18,6.54,4.95,9.14,6.58,3.12,3.53,5.93,0.97,5.46,7.12,5.14,3.81
ESPRESSO:chr11:5496:23,NA,ENSG00000084207.18,0.41,0.99,4.06,5.07,3.49,0.85,4.89,2.81,2.09,3.78,0,3.45
ESPRESSO:chr11:5496:30,NA,ENSG00000084207.18,2.04,0,2.46,0.81,0.56,2.43,2.86,0,1.67,1.22,0,0.25
ENST00000415352.6,NDUFV1-202,ENSG00000167792.13,0,0,1.87,0.35,1.98,0.93,1.03,0,0.22,0.81,0,1
ENST00000526770.5,NDUFV1-208,ENSG00000167792.13,0,2.69,0.32,0.31,0.78,0.04,0,1.63,3.39,1.49,0,0.85
ENST00000531250.1,NDUFV1-220,ENSG00000167792.13,93.71,95.25,14.59,17.33,26.27,35.7,11.27,50.2,39.53,20.74,95.09,52.2
ENST00000534352.1,NDUFV1-228,ENSG00000167792.13,407.47,553.12,44.6,74.75,92.7,182.48,51.5,436.3,130.54,85.42,497.53,147.18
ENST00000322776.11,NDUFV1-201,ENSG00000167792.13,370.35,177.5,123.73,107.22,170.78,362.96,144.59,223.81,290.46,130.92,214.05,248.12
ENST00000529927.5,NDUFV1-216,ENSG00000167792.13,7.44,0,7.95,0.35,6.19,13.84,1.43,0,8.05,5.92,0,7.58
ESPRESSO:chr11:5497:14,NA,ENSG00000167792.13,0.58,3.38,0.43,0.48,0.21,0.9,0.11,0.97,0.74,0,0.83,0.61
ESPRESSO:chr11:5497:17,NA,ENSG00000167792.13,0.22,1.54,0.07,0.75,3.05,0.67,0,5,0.91,0,2.17,1.81
ESPRESSO:chr11:5497:18,NA,ENSG00000167792.13,0,2.69,5.29,1.24,3.53,2.19,2.04,1.63,4.14,4.46,0,6.8
ESPRESSO:chr11:5497:29,NA,ENSG00000167792.13,17.29,10.87,6.71,8.36,6.69,24.43,6.94,10.51,9.89,5.92,9.31,15.92
ESPRESSO:chr11:5497:20,NA,ENSG00000167792.13,2.61,2.69,0.34,0.31,2.35,0.04,6.16,1.63,0,1.49,0,0.29
ESPRESSO:chr11:5497:22,NA,ENSG00000167792.13,0.44,4.12,2.58,1.03,1.95,2.18,0,4.17,1.22,0.51,0,1.87
ENST00000376693.3,NUDT8-202,ENSG00000167799.10,4.32,3.87,1.84,0.36,2.35,4.68,1.69,0,3.13,3.95,3.34,3.2
ENST00000255082.8,ACY3-201,ENSG00000132744.8,0.53,0,2.16,0.36,14.61,0,2.53,0.48,2.24,9.86,0,2.06
ESPRESSO:chr11:5515:5,NA,NA,1.3,0,0,0,0.64,1.26,2.21,0,1.57,0.99,0,2.51
ESPRESSO:chr11:5516:1,NA,NA,1.3,0,0,0,0.64,1.26,2.21,0,1.57,0.99,0,2.51
ENST00000313468.10,NDUFS8-201,ENSG00000110717.13,296.38,136.83,136.52,165.63,230.35,323.48,191.04,235.61,318.8,179.03,227.27,273.25
ENST00000526339.5,NDUFS8-207,ENSG00000110717.13,1.3,0,0.43,0.48,1.07,1.45,0.63,0.97,1.86,0.33,1.26,0.23
ENST00000526446.5,NDUFS8-208,ENSG00000110717.13,1.45,0,2.03,1.46,1.7,2.46,0.74,0.48,1.58,1.49,0.42,0.81
ENST00000432321.6,NDUFS8-202,ENSG00000110717.13,2.89,0.48,0.98,0.85,1.71,0.81,1.37,2.44,0.92,0.16,2.09,0.92
ENST00000531282.1,NDUFS8-213,ENSG00000110717.13,56.36,68.66,9.99,34.72,24.46,23.15,15.06,55.69,30.59,20.9,109.68,30.23
ENST00000528492.1,NDUFS8-210,ENSG00000110717.13,3.6,2.9,8.33,4.23,1.39,6.03,17.69,7.26,9.77,10.53,7.51,2.97
ESPRESSO:chr11:5517:1,NA,ENSG00000110717.13,145.67,160.52,27.96,65.75,62.46,64.68,38.23,153.69,81,42.49,204.35,82.17
ENST00000698258.1,TCIRG1-221,ENSG00000110719.11,0.24,9.51,0.33,8.94,2.5,0,0.47,5.48,1.9,1.34,7.92,0.1
ENST00000532635.5,TCIRG1-213,ENSG00000110719.11,7.8,9.51,2.78,28.02,5.79,1.81,0,5.48,0.18,0,7.92,2.3
ENST00000265686.8,TCIRG1-201,ENSG00000110719.11,7.8,9.51,2.78,20.02,0,1.81,4.23,5.48,0.18,9.27,7.92,2.3
ENST00000265689.9,CHKA-201,ENSG00000110721.12,2.35,0.97,15.96,2.72,14.62,7.93,0,1.61,0,5.62,1.11,0
ESPRESSO:chr11:5519:23,NA,ENSG00000110721.12,2.35,0.97,2.66,2.72,0,0,9.27,1.61,6.56,2.81,1.11,5.25
ESPRESSO:chr11:5519:20,NA,ENSG00000110719.11,1.17,0,0.98,3.39,1,0.16,2.46,0.02,0.31,2.72,0,1.23
ESPRESSO:chr11:5519:24,NA,ENSG00000110721.12,2.35,0.97,0,2.72,0,0,3.09,1.61,1.09,0,1.11,5.25
ENST00000466295.1,KMT5B-212,ENSG00000110066.16,1.44,3.38,0.55,0.6,0.96,0.36,1.47,4.36,0.55,0.82,12.93,0.91
ESPRESSO:chr11:5521:10,NA,ENSG00000110066.16,0.86,0.97,0.31,0.48,0.53,2.52,0.53,2.91,0,0.16,0,2.89
ENST00000304271.11,C11orf24-201,ENSG00000171067.11,0,0.48,3.19,0.6,1.28,1.17,2.53,0,2.03,3.29,0,1.75
ENST00000529590.5,C11orf24-204,ENSG00000171067.11,0.43,0,0,0.73,1.6,0,0,0,1.11,1.15,1.67,1.52
ESPRESSO:chr11:5522:4,NA,ENSG00000171067.11,2.02,2.9,3.87,0.24,2.85,0.9,0.16,1.45,0.64,0.44,0,2.24
ENST00000668632.2,ENST00000668632,ENSG00000286369.2,2.13,0,8.27,0.48,4.82,4.69,5.47,0.48,4.22,2.4,1.67,2.02
ENST00000692178.2,ENST00000692178,ENSG00000286369.2,1.3,0,2.76,0.36,1.92,2.61,0.95,0,0.18,0.33,0,0.84
ESPRESSO:chr11:5523:12,NA,ENSG00000286369.2,0.91,0,2.68,0,1.46,2.02,0.12,1.45,0.74,0.33,0,2.12
ENST00000393800.7,PPP6R3-203,ENSG00000110075.15,16.99,34.55,3.81,14.05,13.33,5.5,11.68,15.49,7.41,11.76,28.65,9.04
ENST00000524845.5,PPP6R3-205,ENSG00000110075.15,15.14,24.9,2.11,6.28,5.66,3.4,12.4,23.23,7.34,16.25,28.65,5.52
ENST00000265643.4,GAL-201,ENSG00000069482.7,2.45,0,0,15,0.21,0.99,0.32,1.94,2.86,1.81,0,1.9
ENST00000265641.10,CPT1A-201,ENSG00000110090.13,3.04,2.29,1.69,5.63,1.47,1.42,6.44,2.05,0.84,2.79,3.79,1.6
ENST00000376618.6,CPT1A-202,ENSG00000110090.13,9.62,2.29,1.13,3.4,5.01,1.22,3.47,2.05,3.9,3.44,3.79,2.55
ESPRESSO:chr11:5528:4,NA,NA,0.72,4.83,1.41,6.41,3.84,1.26,3.26,3.39,3.78,4.11,1.67,2.06
